geo_address_key,street_1_norm,city_norm,state_norm,zip_norm,provider_count,address_variant_count,geocoding_source,geocoding_status,geocoding_match_count,geocoded_matched_address,provider_latitude,provider_longitude,geocoded_tiger_line_id,geocoded_side
3009 NORTH NEW BALLAS ROAD STE 226A | SAINT LOUIS | MO | 63195,3009 NORTH NEW BALLAS ROAD STE 226A,SAINT LOUIS,MO,63195,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
301 ANDREWS AVENUE | FORT RUCKER | AL | 36363,301 ANDREWS AVENUE,FORT RUCKER,AL,36363,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
302 NEWMARKET ST | NEWINGTON | NH | 03803,302 NEWMARKET ST,NEWINGTON,NH,03803,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
302 NEWMARKET ST BLDG 255 | PORTSMOUTH | NH | 03803,302 NEWMARKET ST BLDG 255,PORTSMOUTH,NH,03803,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
311 CARTON AVE | COLOGNE | NJ | 08213,311 CARTON AVE,COLOGNE,NJ,08213,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
316 DYER HALL | CINCINNATI | OH | 45221,316 DYER HALL,CINCINNATI,OH,45221,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
3187 SOLUTIONS CTR | CHICAGO | IL | 60677,3187 SOLUTIONS CTR,CHICAGO,IL,60677,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
325 STAFFORD ROAD | BARSTOW | MD | 20610,325 STAFFORD ROAD,BARSTOW,MD,20610,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
3300 NORTH RUNNING CREEK WAY | LEHI | UT | 84303,3300 NORTH RUNNING CREEK WAY,LEHI,UT,84303,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
336 VICTORIA BUILDING | PITTSBURGH | PA | 15261,336 VICTORIA BUILDING,PITTSBURGH,PA,15261,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
340 N MIDDLETOWN RD | LIMA | PA | 19037,340 N MIDDLETOWN RD,LIMA,PA,19037,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
341 GRUNNION AVE | GROTON | CT | 06349,341 GRUNNION AVE,GROTON,CT,06349,2,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
341 GRUNNION AVENUE | GROTON | CT | 06349,341 GRUNNION AVENUE,GROTON,CT,06349,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
3565 MOMENTUM PL | CHICAGO | IL | 60689,3565 MOMENTUM PL,CHICAGO,IL,60689,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
35TH MEDICAL GROUP | APO | WA | 96319,35TH MEDICAL GROUP,APO,WA,96319,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
36 LIVELY OAKS RD | LIVELY | VA | 22507,36 LIVELY OAKS RD,LIVELY,VA,22507,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
36 LIVELY OAKS ROAD | LIVELY | VA | 22507,36 LIVELY OAKS ROAD,LIVELY,VA,22507,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
3644 VALLEY RD | LIBERTY CORNER | NJ | 07938,3644 VALLEY RD,LIBERTY CORNER,NJ,07938,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
