request_id,street_1_norm,street_2_norm,city_norm,state_norm,zip_norm,provider_count,geocoding_source,geocoding_status,geocoding_match_count,geocoded_matched_address,provider_latitude,provider_longitude,geocoded_tiger_line_id,geocoded_side
1778,STUDENT HEALTH APPALACHIAN STATE UNIVERSITY,614 HOWARD STREET BOX 32070,BOONE,NC,28608,1,Census_Geocoder,unmatched,0,,,,,
1779,STUDENT HEALTH CARE CENTER 1 FLETCHER DRIVE,UNIVERSITY OF FLORIDA,GAINESVILLE,FL,32611,1,Census_Geocoder,unmatched,0,,,,,
1782,SW WASHINGTON MEDICAL CENTER,,VANCOUVER,WA,98668,1,Census_Geocoder,unmatched,0,,,,,
1783,SWCMHC 215 N MAGNOLIA ST,,SUMTER,SC,29151,1,Census_Geocoder,matched,1,"215 MAGNOLIA ST, SUMTER, SC, 29150",33.922958968897,-80.337171864251,202669489,R
1784,TAMPA GENERAL HOSPITAL,ONE DAVIS BLVD,TAMPA,FL,33601,1,Census_Geocoder,unmatched,0,,,,,
1785,TAYLOR @ MARION ST,,COLUMBIA,SC,29220,1,Census_Geocoder,matched,1,"TAYLOR ST & MARION ST, COLUMBIA, SC, 29201",34.007636388948,-81.032711765521,,
1786,TAYLOR AT MARION,PALMETTO HEALTH BAPTIST,COLUMBIA,SC,29220,1,Census_Geocoder,matched,1,"TAYLOR ST & MARION ST, COLUMBIA, SC, 29201",34.007636388948,-81.032711765521,,
1787,TAYLOR AT MARION ST,,COLUMBIA,SC,29220,1,Census_Geocoder,matched,1,"TAYLOR ST & MARION ST, COLUMBIA, SC, 29201",34.007636388948,-81.032711765521,,
1789,TEXAS TECH SCHOOL OF PHARMACY,3601 4TH STREET MS 8162,LUBBOCK,TX,79430,1,Census_Geocoder,unmatched,0,,,,,
1790,THE CLEVELAND CLINIC,9500 EUCLID AVE,CLEVELAND,OH,44195,1,Census_Geocoder,unmatched,0,,,,,
1791,THE PENTAGON CORRIDOR 8,,WASHINGTON,DC,20310,1,Census_Geocoder,unmatched,0,,,,,
