STATE_CLEAN,ZIP_CLEAN,provider_count,individual_provider_count,organization_provider_count,unique_specialty_count,providers_with_specialty,specialty_diversity_ratio,state_provider_count,zip_provider_share_of_state,individual_provider_ratio,organization_provider_ratio
AL,35085,2,1,1,2,2,1.0,3489,0.0005732301519059903,0.5,0.5
AL,35094,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35096,2,1,1,2,2,1.0,3489,0.0005732301519059903,0.5,0.5
AL,35115,3,2,1,2,3,0.6666666666666666,3489,0.0008598452278589854,0.6666666666666666,0.3333333333333333
AL,35117,2,1,1,2,2,1.0,3489,0.0005732301519059903,0.5,0.5
AL,35121,6,2,4,6,6,1.0,3489,0.0017196904557179708,0.3333333333333333,0.6666666666666666
AL,35124,12,8,4,11,12,0.9166666666666666,3489,0.0034393809114359416,0.6666666666666666,0.3333333333333333
AL,35125,13,12,1,8,13,0.6153846153846154,3489,0.003725995987388937,0.9230769230769231,0.07692307692307693
AL,35126,5,4,1,4,5,0.8,3489,0.0014330753797649756,0.8,0.2
AL,35127,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35128,6,3,3,5,6,0.8333333333333334,3489,0.0017196904557179708,0.5,0.5
AL,35148,2,1,1,2,2,1.0,3489,0.0005732301519059903,0.5,0.5
AL,35150,18,15,3,13,18,0.7222222222222222,3489,0.005159071367153913,0.8333333333333334,0.16666666666666666
AL,35151,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35160,8,5,3,7,8,0.875,3489,0.002292920607623961,0.625,0.375
AL,35173,13,12,1,10,13,0.7692307692307693,3489,0.003725995987388937,0.9230769230769231,0.07692307692307693
AL,35178,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35179,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35180,4,3,1,3,4,0.75,3489,0.0011464603038119805,0.75,0.25
AL,35184,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35203,6,3,3,4,6,0.6666666666666666,3489,0.0017196904557179708,0.5,0.5
AL,35205,82,67,15,34,82,0.4146341463414634,3489,0.0235024362281456,0.8170731707317073,0.18292682926829268
AL,35206,4,3,1,4,4,1.0,3489,0.0011464603038119805,0.75,0.25
AL,35207,2,2,0,2,2,1.0,3489,0.0005732301519059903,1.0,0.0
AL,35209,129,115,14,55,129,0.4263565891472868,3489,0.03697334479793637,0.8914728682170543,0.10852713178294573
AL,35210,6,3,3,4,6,0.6666666666666666,3489,0.0017196904557179708,0.5,0.5
AL,35211,57,49,8,27,57,0.47368421052631576,3489,0.01633705932932072,0.8596491228070176,0.14035087719298245
AL,35212,2,2,0,2,2,1.0,3489,0.0005732301519059903,1.0,0.0
AL,35213,54,50,4,18,54,0.3333333333333333,3489,0.015477214101461736,0.9259259259259259,0.07407407407407407
AL,35215,6,3,3,5,6,0.8333333333333334,3489,0.0017196904557179708,0.5,0.5
AL,35216,32,24,8,23,32,0.71875,3489,0.009171682430495844,0.75,0.25
AL,35218,7,5,2,5,7,0.7142857142857143,3489,0.002006305531670966,0.7142857142857143,0.2857142857142857
AL,35222,2,0,2,2,2,1.0,3489,0.0005732301519059903,0.0,1.0
AL,35223,8,7,1,7,8,0.875,3489,0.002292920607623961,0.875,0.125
AL,35226,11,8,3,8,11,0.7272727272727273,3489,0.0031527658354829464,0.7272727272727273,0.2727272727272727
AL,35229,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35233,165,154,11,64,165,0.3878787878787879,3489,0.04729148753224419,0.9333333333333333,0.06666666666666667
AL,35234,4,3,1,4,4,1.0,3489,0.0011464603038119805,0.75,0.25
AL,35235,47,38,9,26,47,0.5531914893617021,3489,0.01347090856979077,0.8085106382978723,0.19148936170212766
AL,35242,31,21,10,23,31,0.7419354838709677,3489,0.008885067354542848,0.6774193548387096,0.3225806451612903
AL,35243,36,33,3,23,36,0.6388888888888888,3489,0.010318142734307825,0.9166666666666666,0.08333333333333333
AL,35244,25,20,5,16,25,0.64,3489,0.0071653768988248785,0.8,0.2
AL,35249,28,27,1,16,28,0.5714285714285714,3489,0.008025222126683863,0.9642857142857143,0.03571428571428571
AL,35255,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35294,3,2,1,1,3,0.3333333333333333,3489,0.0008598452278589854,0.6666666666666666,0.3333333333333333
AL,35401,45,40,5,22,45,0.4888888888888889,3489,0.012897678417884782,0.8888888888888888,0.1111111111111111
AL,35404,48,45,3,30,48,0.625,3489,0.013757523645743766,0.9375,0.0625
AL,35405,6,6,0,5,6,0.8333333333333334,3489,0.0017196904557179708,1.0,0.0
AL,35406,33,29,4,24,33,0.7272727272727273,3489,0.009458297506448839,0.8787878787878788,0.12121212121212122
AL,35442,3,2,1,3,3,1.0,3489,0.0008598452278589854,0.6666666666666666,0.3333333333333333
AL,35447,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35453,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
