STATE_CLEAN,ZIP_CLEAN,provider_count,individual_provider_count,organization_provider_count,unique_specialty_count,providers_with_specialty,specialty_diversity_ratio,state_provider_count,zip_provider_share_of_state,individual_provider_ratio,organization_provider_ratio,population,providers_per_10000,individual_providers_per_10000,organization_providers_per_10000
AK,99664,2,1,1,2,2,1.0,562,0.0035587188612099,0.5,0.5,4296.0,4.655493482309125,2.3277467411545625,2.3277467411545625
AK,99669,21,17,4,19,21,0.9047619047619048,562,0.0373665480427046,0.8095238095238095,0.1904761904761904,15722.0,13.357079252003562,10.81287368019336,2.544205571810202
AK,99672,1,1,0,1,1,1.0,562,0.0017793594306049,1.0,0.0,4153.0,2.4078979051288223,2.4078979051288223,0.0
AK,99685,2,0,2,2,2,1.0,562,0.0035587188612099,0.0,1.0,3690.0,5.420054200542006,0.0,5.420054200542006
AK,99688,1,1,0,1,1,1.0,562,0.0017793594306049,1.0,0.0,2542.0,3.933910306845004,3.933910306845004,0.0
AK,99689,1,1,0,1,1,1.0,562,0.0017793594306049,1.0,0.0,506.0,19.76284584980237,19.76284584980237,0.0
AK,99701,29,25,4,21,29,0.7241379310344828,562,0.0516014234875444,0.8620689655172413,0.1379310344827586,17564.0,16.511045319972673,14.233659758597131,2.277385561375541
AK,99702,4,3,1,4,4,1.0,562,0.0071174377224199,0.75,0.25,3200.0,12.5,9.375,3.125
AK,99703,24,24,0,13,24,0.5416666666666666,562,0.0427046263345195,1.0,0.0,8545.0,28.086600351082502,28.086600351082502,0.0
AK,99705,1,1,0,1,1,1.0,562,0.0017793594306049,1.0,0.0,22281.0,0.4488128899061981,0.4488128899061981,0.0
AK,99709,9,8,1,9,9,1.0,562,0.0160142348754448,0.8888888888888888,0.1111111111111111,29734.0,3.026837963274366,2.690522634021659,0.33631532925270735
AK,99712,1,0,1,1,1,1.0,562,0.0017793594306049,0.0,1.0,12070.0,0.8285004142502072,0.0,0.8285004142502072
AK,99723,1,0,1,1,1,1.0,562,0.0017793594306049,0.0,1.0,4855.0,2.059732234809475,0.0,2.059732234809475
AK,99737,1,1,0,1,1,1.0,562,0.0017793594306049,1.0,0.0,4659.0,2.14638334406525,2.14638334406525,0.0
AK,99752,4,4,0,4,4,1.0,562,0.0071174377224199,1.0,0.0,3129.0,12.78363694471077,12.78363694471077,0.0
AK,99780,2,1,1,2,2,1.0,562,0.0035587188612099,0.5,0.5,1790.0,11.1731843575419,5.58659217877095,5.58659217877095
AK,99801,24,19,5,20,24,0.8333333333333334,562,0.0427046263345195,0.7916666666666666,0.2083333333333333,29796.0,8.054772452678213,6.376694858370251,1.6780775943079607
AK,99827,2,1,1,2,2,1.0,562,0.0035587188612099,0.5,0.5,2166.0,9.233610341643582,4.616805170821791,4.616805170821791
AK,99835,14,8,6,10,14,0.7142857142857143,562,0.0249110320284697,0.5714285714285714,0.4285714285714285,8393.0,16.680567139282736,9.531752651018707,7.148814488264029
AK,99901,9,6,3,7,9,0.7777777777777778,562,0.0160142348754448,0.6666666666666666,0.3333333333333333,13875.0,6.486486486486486,4.324324324324325,2.1621621621621623
AK,99921,2,2,0,2,2,1.0,562,0.0035587188612099,1.0,0.0,1667.0,11.997600479904019,11.997600479904019,0.0
AK,99925,2,1,1,2,2,1.0,562,0.0035587188612099,0.5,0.5,854.0,23.4192037470726,11.7096018735363,11.7096018735363
AK,99929,1,1,0,1,1,1.0,562,0.0017793594306049,1.0,0.0,2105.0,4.750593824228028,4.750593824228028,0.0
AL,18105,1,1,0,1,1,1.0,3489,0.0002866150759529,1.0,0.0,,,,
AL,30033,1,1,0,1,1,1.0,3489,0.0002866150759529,1.0,0.0,31530.0,0.3171582619727244,0.3171582619727244,0.0
AL,35004,4,3,1,3,4,0.75,3489,0.0011464603038119,0.75,0.25,11558.0,3.4608063678837166,2.5956047759127876,0.8652015919709292
AL,35005,4,4,0,4,4,1.0,3489,0.0011464603038119,1.0,0.0,8143.0,4.912194522903107,4.912194522903107,0.0
AL,35007,34,27,7,21,34,0.6176470588235294,3489,0.0097449125824018,0.7941176470588235,0.2058823529411764,27935.0,12.171111508859852,9.665294433506354,2.505817075353499
AL,35010,14,8,6,11,14,0.7857142857142857,3489,0.0040126110633419,0.5714285714285714,0.4285714285714285,19619.0,7.1359396503389565,4.07767980019369,3.058259850145267
AL,35014,1,1,0,1,1,1.0,3489,0.0002866150759529,1.0,0.0,3353.0,2.9824038174768863,2.9824038174768863,0.0
AL,35016,6,6,0,4,6,0.6666666666666666,3489,0.0017196904557179,1.0,0.0,17435.0,3.441353599082306,3.441353599082306,0.0
